CentroidID,cntHauls_2003_2019
32001837,1
32001839,1
32011821,1
32011823,1
32011824,1
32011846,1
32011853,1
32021835,1
32041829,1
32041833,2
32051815,1
32051820,1
32051843,2
32061838,1
32061842,1
32071815,1
32081836,1
32141857,1
32161900,2
32161904,1
32161939,1
32171814,1
32181801,1
32181807,1
32181904,1
32191849,1
32191851,1
32191853,1
32191855,1
32201856,1
32201902,1
32201939,2
32201941,1
32221833,1
32231949,1
32231953,1
32251824,1
32261831,1
32261833,1
32261836,1
32271825,2
32281827,2
32281829,1
32281832,2
32281836,1
32301827,1
32321837,1
32331841,1
32341719,3
32341837,1
32341939,1
32341941,1
32351720,3
32351722,1
32351823,1
32351848,1
32351952,2
32361718,1
32361826,1
32361837,1
32361839,1
32361938,1
32361939,2
32371720,1
32371722,2
32371724,1
32371725,2
32371821,1
32371824,1
32371842,1
32371946,1
32371952,1
32371953,1
32381718,3
32381826,2
32381838,1
32381943,1
32391722,1
32391723,2
32391725,3
32391729,2
32391842,1
32391847,1
32391950,1
32391955,1
32401720,3
32401745,2
32401826,1
32401939,1
32402000,1
32402008,2
32411721,1
32411723,1
32411725,1
32411727,2
32411746,5
32411748,1
32411750,2
32411820,1
32411824,2
32411844,1
32411946,1
32421718,4
32421719,2
32421744,1
32421802,1
32421806,1
32421826,3
32421833,1
32421840,1
32422002,1
32431721,2
32431723,1
32431725,2
32431727,1
32431748,3
32431750,1
32431752,1
32431818,1
32431822,1
32431824,3
32431957,1
32441717,1
32441719,4
32441802,1
32441811,1
32441825,2
32441831,1
32441834,1
32441840,1
32442004,2
32442005,2
32451721,1
32451726,1
32451746,1
32451750,2
32451751,1
32451753,1
32451755,1
32451823,1
32451958,1
32461719,2
32461800,1
32461804,2
32461806,1
32461807,1
32461831,3
32461832,2
32461836,1
32462002,1
32462004,1
32462005,1
32462007,3
32462011,1
32471721,2
32471723,1
32471726,1
32471730,1
32471746,1
32471751,2
32471946,1
32471951,1
32471953,1
32471954,1
32471956,1
32471958,1
32481733,1
32481832,1
32481938,1
32482005,2
32482007,1
32482009,1
32482010,1
32482014,1
32482018,1
32491722,2
32491724,1
32491747,1
32491751,2
32491816,1
32491947,1
32491960,1
32501802,1
32501807,1
32501834,2
32501836,1
32502007,1
32502017,1
32511720,4
32511722,4
32511724,2
32511731,1
32511747,1
32511749,1
32511752,1
32511754,1
32511812,2
32511954,1
32521718,3
32521733,1
32521807,1
32521808,1
32521810,1
32521835,2
32522005,1
32531722,2
32531724,3
32531747,2
32531750,1
32531752,1
32531756,1
32531812,1
32531949,1
32541718,6
32541758,1
32541801,1
32541805,1
32541837,3
32542001,1
32542003,1
32542014,1
32551720,2
32551722,1
32551725,1
32551745,1
32551750,1
32551812,2
32551819,1
32551840,1
32551842,2
32561718,2
32561734,1
32561736,1
32561738,2
32561739,2
32562003,1
32562015,1
32571720,2
32571721,2
32571727,1
32571752,1
32571817,1
32571840,1
32571842,1
32581734,1
32581736,1
32581806,1
32582004,1
32582013,1
32591719,2
32591721,1
32591723,2
32591744,1
32591820,1
32591842,1
32592022,1
32601801,1
32602001,1
32602008,1
33001739,2
33001741,1
33001742,1
33001804,1
33002010,1
33002015,1
33011721,2
33011723,3
33011724,2
