Area_Name,year,TowsByYr,TowsByAreaYr,pctTows
Bandon,2003,544,7,1.2867647058823528
Bandon,2004,475,3,0.631578947368421
Bandon,2005,637,8,1.2558869701726845
Bandon,2006,643,8,1.244167962674961
Bandon,2007,689,6,0.8708272859216255
Bandon,2008,679,7,1.0309278350515463
Bandon,2009,681,5,0.7342143906020557
Bandon,2010,714,6,0.8403361344537815
Bandon,2011,695,2,0.28776978417266186
Bandon,2012,698,3,0.42979942693409745
Bandon,2013,469,2,0.42643923240938164
Bandon,2014,682,9,1.3196480938416422
Bandon,2015,668,4,0.5988023952095809
Bandon,2016,692,9,1.300578034682081
Bandon,2017,707,3,0.4243281471004243
Bandon,2018,702,2,0.2849002849002849
Bandon,2019,349,3,0.8595988538681949
Brookings,2003,544,12,2.2058823529411766
Brookings,2004,475,8,1.6842105263157894
Brookings,2005,637,8,1.2558869701726845
Brookings,2006,643,7,1.088646967340591
Brookings,2007,689,13,1.8867924528301887
Brookings,2008,679,8,1.1782032400589102
Brookings,2009,681,9,1.3215859030837005
Brookings,2010,714,9,1.2605042016806722
Brookings,2011,695,8,1.1510791366906474
Brookings,2012,698,6,0.8595988538681949
Brookings,2013,469,7,1.4925373134328357
Brookings,2014,682,6,0.8797653958944283
Brookings,2015,668,7,1.0479041916167664
Brookings,2016,692,9,1.300578034682081
Brookings,2017,707,5,0.7072135785007072
Brookings,2018,702,5,0.7122507122507122
Brookings,2019,349,4,1.146131805157593
Coos Bay,2003,544,19,3.4926470588235294
Coos Bay,2004,475,12,2.526315789473684
Coos Bay,2005,637,18,2.8257456828885403
Coos Bay,2006,643,26,4.043545878693624
Coos Bay,2007,689,23,3.3381712626995643
Coos Bay,2008,679,17,2.503681885125184
Coos Bay,2009,681,27,3.9647577092511015
Coos Bay,2010,714,19,2.661064425770308
Coos Bay,2011,695,23,3.3093525179856114
Coos Bay,2012,698,22,3.151862464183381
Coos Bay,2013,469,20,4.264392324093817
Coos Bay,2014,682,17,2.4926686217008798
Coos Bay,2015,668,23,3.44311377245509
Coos Bay,2016,692,21,3.0346820809248554
Coos Bay,2017,707,20,2.828854314002829
Coos Bay,2018,702,27,3.8461538461538463
Coos Bay,2019,349,13,3.7249283667621778
Humboldt,2003,544,2,0.3676470588235294
Humboldt,2004,475,4,0.8421052631578947
Humboldt,2005,637,2,0.3139717425431711
Humboldt,2006,643,5,0.7776049766718507
Humboldt,2007,689,3,0.43541364296081275
Humboldt,2008,679,4,0.5891016200294551
Humboldt,2009,681,4,0.5873715124816447
Humboldt,2010,714,5,0.700280112044818
Humboldt,2012,698,3,0.42979942693409745
Humboldt,2013,469,6,1.279317697228145
Humboldt,2014,682,2,0.2932551319648094
Humboldt,2015,668,3,0.4491017964071856
Humboldt,2016,692,3,0.4335260115606936
Humboldt,2017,707,3,0.4243281471004243
Humboldt,2018,702,6,0.8547008547008548
Morro Bay,2004,475,1,0.21052631578947367
Morro Bay,2005,637,3,0.47095761381475665
Morro Bay,2006,643,2,0.3110419906687403
Morro Bay,2007,689,4,0.5805515239477503
Morro Bay,2008,679,4,0.5891016200294551
Morro Bay,2009,681,5,0.7342143906020557
Morro Bay,2010,714,9,1.2605042016806722
Morro Bay,2011,695,5,0.7194244604316548
Morro Bay,2012,698,4,0.5730659025787965
Morro Bay,2013,469,1,0.21321961620469082
Morro Bay,2014,682,5,0.7331378299120235
Morro Bay,2015,668,4,0.5988023952095809
Morro Bay,2016,692,4,0.5780346820809248
Morro Bay,2017,707,6,0.8486562942008486
Morro Bay,2018,702,4,0.5698005698005698
Morro Bay,2019,349,4,1.146131805157593
All BOEM Areas,2003,544,40,7.352941176470589
All BOEM Areas,2004,475,28,5.894736842105263
All BOEM Areas,2005,637,39,6.122448979591836
All BOEM Areas,2006,643,48,7.4650077760497675
All BOEM Areas,2007,689,49,7.111756168359943
All BOEM Areas,2008,679,40,5.89101620029455
All BOEM Areas,2009,681,50,7.342143906020558
All BOEM Areas,2010,714,48,6.722689075630252
All BOEM Areas,2011,695,38,5.467625899280575
All BOEM Areas,2012,698,38,5.444126074498568
All BOEM Areas,2013,469,36,7.675906183368871
All BOEM Areas,2014,682,39,5.718475073313782
All BOEM Areas,2015,668,41,6.137724550898203
All BOEM Areas,2016,692,46,6.6473988439306355
All BOEM Areas,2017,707,37,5.233380480905233
All BOEM Areas,2018,702,44,6.267806267806268
All BOEM Areas,2019,349,24,6.876790830945559
